RA,Dec
nan,nan
nan,nan
nan,nan
346.859043,62.274502
346.800514,62.276489
nan,nan
346.702909,62.2794
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.321079,62.290722
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
345.990942,62.299503
nan,nan
nan,nan
345.772476,62.304955
nan,nan
345.708186,62.306507
nan,nan
345.679081,62.307301
nan,nan
345.421107,62.31287
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
343.611412,62.340092
nan,nan
nan,nan
nan,nan
nan,nan
343.00131,62.343925
342.91735,62.344212
350.175661,62.128876
nan,nan
nan,nan
nan,nan
349.971516,62.140266
349.798279,62.149696
349.680697,62.155708
349.647052,62.157604
nan,nan
nan,nan
349.497541,62.165211
nan,nan
nan,nan
nan,nan
nan,nan
349.181653,62.181114
349.129526,62.183578
nan,nan
348.390755,62.217438
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.137956,62.265545
nan,nan
346.881691,62.274097
346.791941,62.276917
346.746716,62.278423
nan,nan
nan,nan
346.600461,62.282906
346.557397,62.284168
nan,nan
346.435436,62.287632
nan,nan
nan,nan
346.325165,62.290756
nan,nan
nan,nan
346.211704,62.293888
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
344.930516,62.322723
nan,nan
nan,nan
nan,nan
344.730915,62.326153
nan,nan
344.451116,62.330498
344.376265,62.331734
nan,nan
344.204551,62.334064
344.192604,62.334152
nan,nan
nan,nan
nan,nan
nan,nan
343.774417,62.338806
343.759919,62.339031
nan,nan
343.51989,62.341114
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
342.995193,62.344231
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.816766,62.148911
nan,nan
nan,nan
nan,nan
nan,nan
349.551547,62.162693
nan,nan
349.372835,62.171921
nan,nan
nan,nan
349.239716,62.178566
349.220071,62.179302
nan,nan
nan,nan
nan,nan
348.976332,62.191166
nan,nan
348.494737,62.213089
348.330797,62.220196
nan,nan
nan,nan
347.774353,62.242783
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.665475,62.281235
346.638803,62.281895
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
345.524735,62.311092
nan,nan
345.463752,62.312469
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
344.93393,62.322926
nan,nan
nan,nan
nan,nan
nan,nan
344.658451,62.327831
344.637792,62.327991
nan,nan
nan,nan
nan,nan
344.383892,62.331867
nan,nan
nan,nan
344.078529,62.335651
nan,nan
nan,nan
343.935685,62.337345
343.912394,62.337597
343.846629,62.338268
nan,nan
343.638195,62.34024
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
342.648116,62.345329
342.56242,62.345398
350.201072,62.12785
350.158531,62.130169
nan,nan
nan,nan
nan,nan
349.590248,62.160873
349.369568,62.172302
349.133085,62.183983
nan,nan
348.895799,62.195232
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.41277,62.216934
nan,nan
348.361143,62.219208
nan,nan
nan,nan
348.249456,62.223911
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.204509,62.263847
nan,nan
346.615597,62.282898
nan,nan
346.49048,62.286346
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
343.7627,62.339462
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
343.020632,62.344452
342.906609,62.345078
342.844219,62.345081
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.844939,62.147659
349.777765,62.151344
349.765542,62.1521
nan,nan
349.557668,62.162903
349.440333,62.168827
349.266079,62.177654
nan,nan
nan,nan
349.171492,62.182365
nan,nan
nan,nan
348.906322,62.194862
348.893893,62.19556
348.424129,62.216709
nan,nan
nan,nan
348.2528,62.223866
nan,nan
nan,nan
348.047694,62.232479
nan,nan
nan,nan
nan,nan
nan,nan
347.751948,62.244247
nan,nan
347.611931,62.249397
347.59449,62.25032
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.314862,62.291645
nan,nan
nan,nan
nan,nan
345.917528,62.302322
345.68334,62.308098
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
343.888481,62.33815
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
343.280834,62.343399
343.23023,62.343758
343.195287,62.343945
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
342.414738,62.34605
nan,nan
nan,nan
nan,nan
nan,nan
350.094951,62.134224
nan,nan
349.952559,62.14225
349.741009,62.153545
349.593388,62.161278
nan,nan
nan,nan
nan,nan
348.957958,62.192894
nan,nan
348.782761,62.201015
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.512405,62.213177
nan,nan
nan,nan
nan,nan
348.3535,62.219952
348.344522,62.220318
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.846776,62.240761
347.780289,62.243259
