mag,err
nan,nan
nan,nan
13.713,0.045000002
nan,nan
nan,nan
nan,nan
nan,nan
15.705,0.241
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.854,0.101
nan,nan
15.236,0.148
nan,nan
15.341,0.168
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.224,0.037999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.61,0.106
15.283,0.18000001
15.02,0.145
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.502,0.059999999
14.656,0.116
15.39,0.19400001
nan,nan
14.6,0.097000003
15.565,0.21699999
14.957,0.121
nan,nan
nan,nan
14.77,0.098999999
nan,nan
nan,nan
15.345,0.182
nan,nan
14.939,0.121
nan,nan
nan,nan
15.735,0.23100001
nan,nan
nan,nan
13.051,0.033
nan,nan
nan,nan
nan,nan
nan,nan
15.268,0.155
nan,nan
12.803,0.028999999
13.55,0.037
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.991,0.116
nan,nan
nan,nan
nan,nan
9.7489996,0.026000001
13.147,0.039000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.676,0.1
14.84,0.115
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.514,0.077
nan,nan
nan,nan
nan,nan
nan,nan
15.097,0.155
nan,nan
15.243,0.185
15.508,0.213
14.936,0.12
nan,nan
nan,nan
nan,nan
13.332,0.037
nan,nan
13.396,0.035
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.196,0.023
nan,nan
nan,nan
nan,nan
14.072,0.054000001
15.54,0.211
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.505,0.043000001
13.985,0.078000002
nan,nan
nan,nan
14.964,0.103
nan,nan
nan,nan
nan,nan
nan,nan
13.858,0.048
15.403,0.17200001
15.225,0.155
15.133,0.141
nan,nan
13.382,0.043000001
15.615,0.19599999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.429,0.079000004
14.873,0.119
13.248,0.039000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.346,0.15700001
nan,nan
nan,nan
nan,nan
12.458,0.025
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.907,0.126
nan,nan
nan,nan
12.84,0.032000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.628,0.102
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.412,0.178
15.585,0.21600001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.858,0.127
nan,nan
nan,nan
15.633,0.22400001
14.322,0.068999998
nan,nan
nan,nan
nan,nan
15.325,0.171
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.088,0.025
nan,nan
13.459,0.034000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.958,0.113
nan,nan
nan,nan
15.244,0.148
nan,nan
nan,nan
15.5,0.211
nan,nan
nan,nan
13.049,0.029999999
15.216,0.148
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.333,0.071999997
13.023,0.035
nan,nan
